CP1,CP2,Final,Session
13.75,16.5,27.75,A2017
9.5,11.5,14.25,A2017
11.0,10.25,22.75,A2017
10.75,13.0,26.0,A2017
10.75,6.5,22.0,A2017
10.25,17.0,19.5,A2017
15.5,17.0,34.0,A2017
15.5,15.5,21.25,A2017
14.5,10.5,26.25,A2017
8.25,8.25,28.25,A2017
15.75,16.25,25.0,A2017
18.25,17.0,37.75,A2017
12.75,16.5,30.5,A2017
11.25,13.0,30.25,A2017
5.75,17.5,25.25,A2017
9.75,7.0,22.0,A2017
5.25,12.0,9.0,A2017
14.5,12.25,24.25,A2017
9.5,13.75,34.0,A2017
11.25,13.5,26.5,A2017
13.25,7.75,20.75,A2017
11.25,11.5,22.75,A2017
13.5,10.25,15.25,A2017
11.5,7.0,32.25,A2017
16.0,14.0,30.75,A2017
13.25,6.0,24.5,A2017
16.5,16.5,32.75,A2017
13.0,11.75,25.75,A2017
13.0,7.0,20.0,A2017
10.75,8.75,18.0,A2017
10.5,14.5,25.75,A2017
15.5,11.25,21.0,A2017
6.75,15.0,31.0,A2017
8.5,16.25,28.75,A2017
16.75,11.5,23.5,A2017
15.25,14.75,30.75,A2017
13.25,14.75,27.75,H2018
12.75,18.25,22.75,H2018
12.5,13.0,22.5,H2018
15.0,15.0,29.25,H2018
10.5,5.5,11.5,H2018
10.75,9.5,20.75,H2018
5.5,7.75,23.25,H2018
15.5,13.25,19.5,H2018
18.0,17.5,30.25,H2018
9.25,17.0,20.75,H2018
12.0,3.0,21.5,H2018
9.0,11.75,19.5,H2018
12.75,12.5,25.75,H2018
8.0,10.5,20.0,H2018
9.25,6.25,15.75,H2018
9.0,5.5,24.75,H2018
17.75,15.25,28.0,H2018
17.0,14.5,28.5,H2018
13.25,19.5,25.0,H2018
9.0,17.25,23.75,H2018
10.75,15.75,26.25,H2018
10.5,7.75,26.0,H2018
11.5,19.25,26.75,H2018
14.25,11.75,18.5,H2018
8.75,12.5,21.75,H2018
11.0,12.5,14.5,H2018
10.0,15.5,25.75,H2018
9.5,12.5,19.0,H2018
19.25,19.75,28.25,H2018
12.0,13.5,28.5,H2018
10.5,12.0,25.0,H2018
14.5,16.25,19.5,H2018
15.75,12.5,13.5,H2018
9.75,11.25,18.75,H2018
10.5,12.0,13.75,H2018
15.5,15.25,26.0,H2018
17.5,10.0,21.75,H2018
13.25,9.25,18.5,H2018
19.0,13.0,26.25,H2018
11.0,6.75,16.0,H2018
8.5,14.0,18.25,H2018
11.0,5.25,16.0,H2018
14.5,6.75,23.75,H2018
14.5,10.75,23.75,H2018
13.0,8.0,19.75,H2018
11.75,14.75,29.75,H2018
17.0,13.5,25.25,H2018
15.5,11.75,23.75,H2018
9.0,8.25,12.0,H2018
17.0,17.75,27.25,H2018
17.75,20.0,30.25,H2018
7.5,9.75,21.0,H2018
8.25,12.25,27.0,H2018
7.25,16.75,34.75,H2018
12.25,15.0,21.5,H2018
