Time,Direction,Weights,FringeDispl,Speed
5 a.m.,N,0.12,0.24,1.7350965391009228
5 a.m.,NW,-0.33,-0.66,-2.877332097620989
11 a.m.,N,0.35,0.7,2.9632414683923414
11 a.m.,NW,-0.11,-0.22,-1.6612284611094286
5 p.m.,N,0.12,0.24,1.7350965391009228
5 p.m.,NW,0.22,0.44,2.3493318199011393
11 p.m.,N,-0.05,-0.1,-1.12
11 p.m.,NW,0.12,0.24,1.7350965391009228
5 a.m.,N,0.57,1.14,3.7815552356140456
5 a.m.,NW,0.12,0.24,1.7350965391009228
11 a.m.,N,-0.21,-0.42,-2.29531697157495
11 a.m.,NW,-0.18,-0.36,-2.125050587633151
5 p.m.,N,-0.28,-0.56,-2.6504037428286282
5 p.m.,NW,-0.23,-0.46,-2.4021323860270485
11 p.m.,N,0.09,0.18,1.5026376808798587
11 p.m.,NW,0.09,0.18,1.5026376808798587
5 a.m.,N,0.0,0.0,0.0
5 a.m.,NW,0.0,0.0,0.0
11 a.m.,N,-0.03,-0.06,-0.8675482695504614
11 a.m.,NW,-0.26,-0.52,-2.5539929522220692
5 p.m.,N,-0.72,-1.44,-4.250101175266302
5 p.m.,NW,-0.4,-0.8,-3.167838379715733
11 p.m.,N,-0.63,-1.26,-3.975605614242942
11 p.m.,NW,-0.03,-0.06,-0.8675482695504614
5 a.m.,N,0.1,0.2,1.5839191898578664
5 a.m.,NW,-0.22,-0.44,-2.3493318199011393
11 a.m.,N,-0.15,-0.3,-1.9398969044771426
11 a.m.,NW,0.06,0.12,1.2268985288115721
5 p.m.,N,-0.08,-0.16,-1.416700391755434
5 p.m.,NW,0.02,0.04,0.708350195877717
11 p.m.,N,-0.22,-0.44,-2.3493318199011393
11 p.m.,NW,-0.13,-0.26,-1.805945735618875
5 a.m.,N,0.32,0.64,2.833400783510868
5 a.m.,NW,0.0,0.0,0.0
11 a.m.,N,-0.11,-0.22,-1.6612284611094286
11 a.m.,NW,0.19,0.38,2.183281933237208
5 p.m.,N,0.09,0.18,1.5026376808798587
5 p.m.,NW,0.08,0.16,1.416700391755434
11 p.m.,N,0.0,0.0,0.0
11 p.m.,NW,0.12,0.24,1.7350965391009228
5 a.m.,N,-0.01,-0.02,-0.5008792269599529
5 a.m.,NW,-0.05,-0.1,-1.12
11 a.m.,N,0.24,0.48,2.4537970576231443
11 a.m.,NW,0.1,0.2,1.5839191898578664
5 p.m.,N,0.15,0.3,1.9398969044771426
5 p.m.,NW,0.15,0.3,1.9398969044771426
11 p.m.,N,-0.2,-0.4,-2.24
11 p.m.,NW,-0.02,-0.04,-0.708350195877717
11 a.m.,N,-0.07,-0.14,-1.3252018714143141
11 a.m.,NW,-0.03,-0.06,-0.8675482695504614
5 p.m.,N,0.15,0.3,1.9398969044771426
5 p.m.,NW,0.07,0.14,1.3252018714143141
11 a.m.,N,-0.03,-0.06,-0.8675482695504614
11 a.m.,NW,0.02,0.04,0.708350195877717
5 p.m.,N,0.18,0.36,2.125050587633151
5 p.m.,NW,-0.18,-0.36,-2.125050587633151
11 a.m.,N,-0.03,-0.06,-0.8675482695504614
11 a.m.,NW,0.08,0.16,1.416700391755434
5 p.m.,N,0.03,0.06,0.8675482695504614
5 p.m.,NW,-0.03,-0.06,-0.8675482695504614
11 a.m.,N,0.0,0.0,0.0
11 a.m.,NW,0.12,0.24,1.7350965391009228
5 p.m.,N,-0.05,-0.1,-1.12
5 p.m.,NW,0.05,0.1,1.12
