ID,Cement,Slag,Ash,Water,Superplasticizer,Coarse,Fine,Age,Strength
1,102.0,153.0,0.0,192.0,0.0,887.0,942.0,3,4.57
2,153.0,102.0,0.0,192.0,0.0,888.0,943.1,3,4.78
3,141.3,212.0,0.0,203.5,0.0,971.8,748.5,3,4.83
4,183.9,122.6,0.0,203.5,0.0,959.2,800.0,3,4.9
5,385.0,0.0,0.0,186.0,0.0,966.0,763.0,1,6.27
6,236.0,0.0,0.0,194.0,0.0,968.0,885.0,3,6.47
7,212.0,141.3,0.0,203.5,0.0,973.4,750.0,3,6.81
8,133.0,200.0,0.0,192.0,0.0,927.4,839.2,3,6.88
9,166.8,250.2,0.0,203.5,0.0,975.6,692.6,3,6.9
10,173.0,116.0,0.0,192.0,0.0,946.8,856.8,3,6.94
11,182.0,45.2,122.0,170.2,8.2,1059.4,780.7,3,7.32
12,102.0,153.0,0.0,192.0,0.0,887.0,942.0,7,7.68
13,108.3,162.4,0.0,203.5,0.0,938.2,849.0,7,7.72
14,200.0,0.0,0.0,180.0,0.0,1125.0,845.0,7,7.84
15,139.6,209.4,0.0,192.0,0.0,1047.0,806.9,3,8.06
16,255.0,0.0,0.0,192.0,0.0,889.8,945.0,3,8.2
17,153.0,102.0,0.0,192.0,0.0,888.0,943.1,7,8.37
18,250.0,0.0,95.7,191.8,5.3,948.9,857.2,3,8.49
19,158.4,0.0,194.9,219.7,11.0,897.7,712.9,28,8.54
20,158.0,0.0,195.0,220.0,11.0,898.0,713.0,28,8.54
21,349.0,0.0,0.0,192.0,0.0,1056.0,809.0,7,9.01
22,198.6,132.4,0.0,192.0,0.0,978.4,825.5,3,9.13
23,190.3,0.0,125.2,161.9,9.9,1088.1,802.6,3,9.45
24,203.5,305.3,0.0,203.5,0.0,963.4,630.0,3,9.56
25,158.8,238.2,0.0,185.7,0.0,1040.6,734.3,7,9.62
26,157.0,236.0,0.0,192.0,0.0,935.4,781.2,3,9.69
27,250.2,166.8,0.0,203.5,0.0,977.6,694.1,3,9.73
28,154.8,0.0,142.8,193.3,9.1,877.2,867.7,28,9.74
29,230.0,0.0,118.3,195.5,4.6,1029.4,758.6,3,10.03
30,116.0,173.0,0.0,192.0,0.0,909.8,891.9,7,10.09
